,itemid,impressions,grab_time
0,131257768,价格实惠:29-酒味纯正:28-口感很好:15-服务很好:11-味道不错:6-送货及时:4-价廉物美:4-物美价廉:2-到货及时:1,2017-08-07 21:04:47
1,131256262,价格实惠:30-酒味纯正:28-口感很好:16-服务很好:13-味道不错:7-送货及时:4-价廉物美:3-物美价廉:2-质量不错:2,2017-08-07 21:04:59
2,107063899,性价比超值:15-送货很及时:15-口感非常好:13-酒味醇厚:12-好喝:10-便宜:9-外包装漂亮:9-麦芽味浓:5-酒味纯正:5,2017-08-07 21:05:10
3,131257568,价格实惠:31-酒味纯正:27-口感很好:16-服务很好:13-味道不错:6-送货及时:4-价廉物美:4-物美价廉:2-质量不错:2,2017-08-07 21:05:22
4,131255503,价格实惠:31-酒味纯正:28-口感很好:17-服务很好:13-味道不错:7-送货及时:4-价廉物美:4-质量不错:2-到货及时:1,2017-08-07 21:05:34
5,131255456,口感好:7-性价比高:4-物流快:3-正品:3-服务好:3,2017-08-07 21:05:45
6,131255619,价格实惠:31-酒味纯正:29-口感很好:16-服务很好:12-味道不错:6-送货及时:4-价廉物美:4-物美价廉:2-质量不错:2,2017-08-07 21:05:57
7,131255076,价格实惠:30-酒味纯正:29-口感很好:17-服务很好:12-味道不错:6-送货及时:4-价廉物美:4-物美价廉:2-质量不错:2,2017-08-07 21:06:09
8,131255926,价格实惠:31-酒味纯正:26-口感很好:17-服务很好:12-味道不错:6-送货及时:4-价廉物美:4-物美价廉:2-质量不错:2,2017-08-07 21:06:20
9,601758867,,2017-08-07 21:06:32
10,601449891,,2017-08-07 21:06:44
11,945015037,,2017-08-07 21:06:57
12,945016821,,2017-08-07 21:07:08
13,131257888,价格实惠:31-酒味纯正:27-口感很好:16-服务很好:13-味道不错:7-送货及时:4-价廉物美:3-质量不错:2-到货及时:1,2017-08-07 21:07:20
14,131246064,价格实惠:32-酒味纯正:28-口感很好:17-服务很好:12-味道不错:7-送货及时:4-价廉物美:4-物美价廉:2-质量不错:2,2017-08-07 21:07:32
