,itemid,impressions,grab_time
0,137192474,价格便宜:7000-口感很好:6668-性价比高 :6586-发货很快:6530-味道香而浓郁:5808-服务很好:5242-日期新鲜:4173-新鲜:3830-日期不新鲜:2,2017-06-10 17:53:46
1,104618685,价格便宜:1680-口感很好:920-味浓香醇:917-包装完好:885-正品:876-发货很快:848-送货快:829-味道香而浓郁:814-性价比高 :759,2017-06-10 17:53:55
2,131207169,口感很好:2916-发货很快:2713-味道香而浓郁:2702-价格便宜:2587-性价比高 :2471-日期新鲜:2269-服务很好:2227-新鲜:1407-一般般:1,2017-06-10 17:54:04
3,611485596,,2017-06-10 17:54:13
4,606673099,,2017-06-10 17:54:22
5,137192474,价格便宜:43-性价比高 :40-口感很好:38-味道香而浓郁:36-服务很好:31-新鲜:30-日期新鲜:30-发货很快:27,2017-06-10 17:54:32
6,104618685,,2017-06-10 17:54:41
7,153868367,日期新鲜:115-价格便宜:109-性价比高 :108-口感很好:92-味道香而浓郁:91-新鲜:87-发货很快:79-服务很好:70,2017-06-10 17:54:50
8,945002194,,2017-06-10 17:54:59
9,945012862,,2017-06-10 17:55:08
10,945012507,,2017-06-10 17:55:20
11,129035533,口感很好:30-发货很快:27-味道香而浓郁:22-价格便宜:21-日期新鲜:16-性价比高 :16-服务很好:15-味浓香醇:9-新鲜:8,2017-06-10 17:55:30
