,itemid,impressions,grab_time
0,154722868,发货很快:525-价格便宜:467-口感很好:457-性价比高 :451-服务很好:406-味道香而浓郁:404-日期新鲜:370-新鲜:300-不新鲜:1,2017-06-10 16:53:53
1,104618699,价格便宜:166-正品:153-送货快:153-味浓香醇:144-包装完好:139-营养丰富:124-适合老人:62-适合早餐:60-适合孩子:47,2017-06-10 16:54:02
2,129725013,发货很快:1393-性价比高 :1331-价格便宜:1319-口感很好:1278-味道香而浓郁:1212-服务很好:1108-日期新鲜:1054-新鲜:804-价格有点贵:1,2017-06-10 16:54:11
3,121554503,价格便宜:87-口感很好:69-性价比高 :69-发货很快:68-日期新鲜:56-味道香而浓郁:55-新鲜:49-服务很好:46-正品:4,2017-06-10 16:54:20
4,103995019,,2017-06-10 16:54:29
5,142899345,日期新鲜:58-性价比高 :56-价格便宜:54-发货很快:50-口感很好:50-味道香而浓郁:48-服务很好:40-新鲜:39-日期不新鲜:1,2017-06-10 16:54:38
6,614094593,,2017-06-10 16:54:48
7,121729783,,2017-06-10 16:55:18
8,126787521,发货很快:7-日期新鲜:6-服务很好:5-味道香而浓郁:5-口感很好:4-性价比高 :4-新鲜:3-价格便宜:2-包装完好:1,2017-06-10 16:55:27
9,142888210,发货很快:7-服务很好:6-口感很好:6-新鲜:5-味道香而浓郁:2-性价比高 :2-价格便宜:1-日期新鲜:1,2017-06-10 16:55:36
10,121729152,口感很好:2-日期新鲜:2-味道香而浓郁:2-性价比高 :2-新鲜:1-发货很快:1,2017-06-10 16:55:45
11,184477205,新鲜:1,2017-06-10 16:55:54
12,945002560,,2017-06-10 16:56:03
13,103995019,价格便宜:4049-正品:2091-包装完好:2059-送货快:2044-发货很快:1769-味浓香醇:1712-营养丰富:1702-性价比高 :1594-口感很好:1506,2017-06-10 16:56:14
14,103995021,发货很快:424-口感很好:417-价格便宜:410-性价比高 :379-服务很好:347-味道香而浓郁:342-日期新鲜:320-新鲜:238-包装完好:47,2017-06-10 16:56:23
15,104618676,价格便宜:178-正品:122-营养丰富:120-送货快:117-包装完好:110-味浓香醇:89-发货很快:87-口感很好:75-味道香而浓郁:65,2017-06-10 16:56:32
